id,name,platform,year_of_release,genre,publisher,critic_score,critic_count,user_score,developer,rating
1,Wii Sports,Wii,2006,Sports,Nintendo,76,51,8,Nintendo,E
2,Super Mario Bros.,NES,1985,Platform,Nintendo,,,,,
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,82,73,8.3,Nintendo,E
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,80,73,8,Nintendo,E
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,,,,,
6,Tetris,GB,1989,Puzzle,Nintendo,,,,,
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,89,65,8.5,Nintendo,E
8,Wii Play,Wii,2006,Misc,Nintendo,58,41,6.6,Nintendo,E
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,80,8.4,Nintendo,E
10,Duck Hunt,NES,1984,Shooter,Nintendo,,,,,
11,Nintendogs,DS,2005,Simulation,Nintendo,,,,,
12,Mario Kart DS,DS,2005,Racing,Nintendo,91,64,8.6,Nintendo,E
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,,,,,
14,Wii Fit,Wii,2007,Sports,Nintendo,80,63,7.7,Nintendo,E
15,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,45,6.3,Good Science Studio,E
16,Wii Fit Plus,Wii,2009,Sports,Nintendo,80,33,7.4,Nintendo,E
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,50,8.2,Rockstar North,M
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,80,9,Rockstar North,M
19,Super Mario World,SNES,1990,Platform,Nintendo,,,,,
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,58,7.9,Nintendo,E
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,,,,,
22,Super Mario Land,GB,1989,Platform,Nintendo,,,,,
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,,,,,
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,58,8.1,Rockstar North,M
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,62,8.7,Rockstar North,M
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,,,,,
27,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,37,7.1,Nintendo,E
28,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,,,,,
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,54,8.4,Polyphony Digital,E
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,81,3.4,Infinity Ward, Sledgehammer Games,M
31,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,,,,,
32,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,,,,
33,Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,89,6.3,Treyarch,M
34,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,,,,,
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,21,5.3,Treyarch,M
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,73,4.8,Treyarch,M
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,100,6.3,Infinity Ward,M
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,39,3.2,Infinity Ward, Sledgehammer Games,M
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,56,8.5,DMA Design,M
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,81,8.9,Game Arts,T
41,Mario Kart 7,3DS,2011,Racing,Nintendo,85,73,8.2,Retro Studios, Entertainment Analysis & Development Division,E
42,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,58,6.4,Treyarch,M
43,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,66,8.3,Rockstar North,M
44,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,57,8.7,Nintendo,E
45,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,86,7.8,Bungie Software, Bungie,M
46,Super Mario 64,N64,1996,Platform,Nintendo,,,,,
47,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,,,,,
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,,,,
49,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,74,8.5,Polyphony Digital,E
50,Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,73,8.9,Nintendo,E
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,,,,,
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,86,7.9,Rockstar North,M
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,16,8.7,Polyphony Digital,E
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,82,8.4,Nintendo,E
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,82,7.5,Polyphony Digital,E
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,67,6.3,Infinity Ward,M
57,Super Mario All-Stars,SNES,1993,Platform,Nintendo,,,,,
58,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,64,7.5,Rockstar North,M
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,,,,,
60,Super Mario 64,DS,2004,Platform,Nintendo,,,,,
61,Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,29,2.6,Infinity Ward,M
62,Just Dance 3,Wii,2011,Misc,Ubisoft,74,15,7.8,Ubisoft,E10+
63,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,70,7.2,Nintendo,E
64,Mario Kart 64,N64,1996,Racing,Nintendo,,,,,
65,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,99,7.9,Bungie,M
66,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,20,9.2,SquareSoft,T
67,Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,87,7,343 Industries,M
68,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,23,9,Polyphony Digital,T
69,Just Dance 2,Wii,2010,Misc,Ubisoft,74,24,7.3,Ubisoft,E10+
70,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,10,2.6,Infinity Ward,M
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,70,8.4,Infinity Ward,M
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,,,,,
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,,,,,
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,70,8.7,Nintendo,E
75,Mario Party DS,DS,2007,Misc,Nintendo,72,27,7.8,Hudson Soft,E
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96,89,8.4,Bethesda Game Studios,M
77,Super Mario Kart,SNES,1992,Racing,Nintendo,,,,,
78,FIFA 16,PS4,2015,Sports,Electronic Arts,82,42,4.3,EA Sports,E
79,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95,91,8.2,Bungie Software,M
80,Wii Party,Wii,2010,Misc,Nintendo,68,42,7.4,Nd Cube,E
81,Mario Party 8,Wii,2007,Misc,Nintendo,62,41,6.3,Hudson,E
82,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,37,6.6,Electronic Arts,E
83,GoldenEye 007,N64,1997,Shooter,Nintendo,,,,,
84,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,,,,,
85,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,53,8.7,SquareSoft,T
86,The Sims 3,PC,2009,Simulation,Electronic Arts,86,75,7.6,The Sims Studio,T
87,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,,,,,
